year,cali
1950,1.8873963e-05
1951,2.0655323e-05
1952,2.7262333e-05
1953,2.1438722e-05
1954,1.5432517e-05
1955,1.584733e-05
1956,3.3114615e-05
1957,1.4877427e-05
1958,3.4484925e-05
1959,2.4493404e-05
1960,2.3638198e-05
1961,1.10106785e-05
1962,2.5392392e-05
1963,1.721855e-05
1964,6.1699902e-06
1965,1.9217623e-05
1966,1.526648e-05
1967,1.8264574e-05
1968,2.1580443e-05
1969,5.0196915e-05
1970,2.8703575e-05
1971,1.638293e-05
1972,1.6023097e-05
1973,3.0033845e-05
1974,2.491064e-05
1975,2.344724e-05
1976,1.0484906e-05
1977,6.872425e-06
1978,3.7709397e-05
1979,2.2052369e-05
1980,3.562783e-05
1981,2.3170176e-05
1982,2.1133095e-05
1983,4.0472016e-05
1984,2.1336798e-05
1985,1.3271821e-05
1986,3.5770765e-05
1987,1.8445313e-05
1988,2.6882084e-05
1989,1.21481025e-05
1990,1.3237895e-05
1991,8.236331e-06
1992,2.3767105e-05
1993,3.897721e-05
1994,1.7437253e-05
1995,3.3687e-05
1996,2.7780681e-05
1997,3.0168312e-05
1998,4.6284767e-05
1999,1.7819712e-05
2000,2.4023104e-05
2001,1.7934923e-05
2002,1.6251868e-05
2003,2.4854411e-05
2004,2.9973242e-05
2005,2.8989503e-05
2006,2.691278e-05
2007,1.3811667e-05
2008,2.4764066e-05
2009,1.9590412e-05
2010,3.0186415e-05
2011,2.4770006e-05
2012,9.646856e-06
2013,1.6550584e-05
2014,1.2614328e-05
2015,2.0484684e-05
2016,2.1772768e-05
2017,5.3940843e-05
2018,8.244682e-06
2019,4.2687072e-05
