year,enso
1950,25.483334
1951,27.12
1952,26.13
1953,26.916666
1954,25.353333
1955,24.41
1956,25.673334
1957,27.646667
1958,26.606667
1959,26.153334
1960,26.233334
1961,25.916666
1962,25.796667
1963,27.483334
1964,25.286667
1965,28.083334
1966,26.16
1967,26.0
1968,27.073334
1969,27.14
1970,25.48
1971,25.466667
1972,28.52
1973,24.463333
1974,25.673334
1975,24.87
1976,27.32
1977,27.276667
1978,26.373333
1979,26.976667
1980,26.57
1981,26.37
1982,28.71
1983,25.513334
1984,25.603333
1985,26.25
1986,27.653334
1987,27.756666
1988,24.7
1989,26.343334
1990,26.896667
1991,27.923334
1992,26.426666
1993,26.746666
1994,27.71
1995,25.696667
1996,26.17
1997,29.03
1998,25.133333
1999,25.153334
2000,25.873333
2001,26.363333
2003,27.07
2004,27.38
2005,26.146667
2006,27.613333
2007,25.166666
2008,26.12
2009,28.033333
2010,25.03
2011,25.576666
2012,26.726667
2013,26.503334
2014,27.31
2015,29.253334
2016,26.006666
2017,25.836666
2018,27.573334
