year,enso
1950,25.633333
1951,27.226667
1952,26.18
1953,26.92
1954,25.306667
1955,24.646667
1956,25.68
1957,27.493334
1958,26.533333
1959,26.066668
1960,26.306667
1961,25.853333
1962,25.886667
1963,27.41
1964,25.316668
1965,28.1
1966,26.24
1967,25.97
1968,26.89
1969,27.196667
1970,25.606667
1971,25.583334
1972,28.273333
1973,24.706667
1974,25.823334
1975,24.996666
1976,27.296667
1977,27.22
1978,26.196667
1979,26.936666
1980,26.5
1981,26.413334
1982,28.513334
1983,25.723333
1984,25.98
1985,26.193333
1986,27.493334
1987,28.03
1988,25.063334
1989,26.33
1990,26.893333
1991,27.54
1992,26.496666
1993,26.85
1994,27.493334
1995,25.773333
1996,26.276667
1997,29.016666
1998,25.316668
1999,25.41
2000,26.046667
2001,26.473333
2002,27.98
2003,27.056667
2004,27.443333
2005,26.48
2006,27.473333
2007,25.366667
2008,26.363333
2009,27.72
2010,25.07
2011,25.703333
2012,26.98
2013,26.54
2014,27.21
2015,29.143333
2016,26.02
2017,26.06
2018,27.473333
2019,27.056667
