year,jet
1950,142434.84
1951,111689.36
1952,164707.14
1953,132193.75
1954,136082.67
1955,138149.94
1956,153820.92
1957,125429.04
1958,231411.14
1959,184523.34
1960,175126.95
1961,125690.2
1962,104636.87
1963,129048.36
1964,80839.81
1965,119394.98
1966,207818.16
1967,113757.64
1968,120622.33
1969,242042.22
1970,185937.16
1971,87569.836
1972,138263.42
1973,172107.75
1974,163041.06
1975,115759.375
1976,107796.055
1977,86946.836
1978,177505.56
1979,186247.7
1980,222524.81
1981,194455.75
1982,172257.34
1983,209117.89
1984,155817.97
1985,114843.87
1986,194441.39
1987,114457.72
1988,192788.34
1989,106218.88
1990,106621.375
1991,135980.5
1992,160649.62
1993,230728.16
1994,152560.7
1995,191916.86
1996,191296.94
1997,174850.17
1998,279306.1
1999,187384.02
2000,144229.06
2001,135495.0
2002,121733.62
2003,144996.25
2004,228384.36
2005,162724.28
2006,176661.72
2007,135376.67
2008,226902.92
2009,174251.36
2010,185130.9
2011,131586.23
2012,123439.14
2013,96777.4
2014,100279.95
2015,146067.97
2016,138850.14
2017,231022.47
2018,98609.03
2019,247271.48
