year,jet
1950,5.965005
1951,4.603514
1952,5.09504
1953,4.673724
1954,7.172511
1955,3.6906402
1956,5.5256095
1957,5.0105085
1958,8.5983715
1959,8.572651
1960,8.148201
1961,8.393333
1962,6.6328697
1963,7.9708223
1964,6.811172
1965,6.161783
1966,8.222469
1967,6.835896
1968,6.123614
1969,8.085739
1970,6.3635383
1971,6.611334
1972,7.86819
1973,8.300665
1974,6.2083936
1975,8.234765
1976,5.936576
1977,8.199746
1978,8.140056
1979,7.732774
1980,7.298801
1981,9.724711
1982,6.2807336
1983,9.873797
1984,7.114123
1985,10.2163515
1986,9.07774
1987,9.700811
1988,7.0152707
1989,8.380593
1990,8.370515
1991,6.573696
1992,8.729903
1993,9.412254
1994,7.7018285
1995,9.877578
1996,8.309903
1997,6.0442815
1998,9.726671
1999,11.366008
2000,6.65597
2001,11.393888
2003,7.140246
2004,7.4718175
2005,6.4178343
2006,8.789619
2007,8.253177
2008,10.275219
2009,9.279013
2010,11.107901
2011,10.2487955
2012,7.0276823
2013,8.847119
2014,9.176019
2015,9.151236
2016,6.434892
2017,9.291987
2018,10.440985
