year_of_jja,nao_jja
1950,-0.39
1951,-0.123333335
1952,-0.21666667
1953,0.26666668
1954,-1.0266666
1955,0.74333334
1956,-0.73333335
1957,-0.80333334
1958,-1.6333333
1959,0.47666666
1960,-0.48333332
1961,0.61333334
1962,-0.63666666
1963,-0.6066667
1964,0.37666667
1965,0.46666667
1966,-0.22333333
1967,1.2966666
1968,-0.36666667
1969,-0.17666666
1970,0.6666667
1971,0.28666666
1972,0.99
1973,0.36666667
1974,-0.50333333
1975,0.19
1976,1.0533333
1977,-0.39333335
1978,0.43
1979,1.2966666
1980,-1.1566666
1981,0.10333333
1982,0.016666668
1983,1.4933333
1984,0.39666668
1985,0.0033333334
1986,0.053333335
1987,-0.72333336
1988,0.26666668
1989,0.30666667
1990,0.6566667
1991,0.16
1992,0.5566667
1993,-1.1333333
1994,1.18
1995,0.33666667
1996,0.92
1997,0.046666667
1998,-1.0133333
1999,0.31666666
2000,-0.40666667
2001,-0.11
2002,0.56666666
2003,0.06
2004,-0.05666667
2005,0.043333333
2006,-0.09
2007,-0.62333333
2008,-1.3166667
2009,-1.13
2010,-0.8666667
2011,-1.4366666
2012,-1.6433333
2013,0.8833333
2014,-0.91333336
2015,-1.3333334
2016,-1.3633333
2017,0.033333335
2018,1.7433333
2019,-1.2666667
