year,np_slp
1950,1012.4184005398744
1951,1012.3910779640382
1952,1009.1151355338071
1953,1008.7559451461649
1954,1010.1468239619647
1955,1013.3748535697777
1956,1012.1172382663744
1957,1011.4530007871649
1958,1011.3805588145727
1959,1010.6535365261001
1960,1010.6923136253441
1961,1013.3926642560955
1962,1009.7276996839046
1963,1009.6483319223285
1964,1013.1305325716044
1965,1013.7085625963376
1966,1012.8049107550181
1967,1011.6679093037242
1968,1010.7447939975883
1969,1008.2931809261075
1970,1014.4899372671745
1971,1014.5341673344323
1972,1012.5253208907442
1973,1012.3004946970703
1974,1009.93986030212
1975,1011.7612176862376
1976,1009.0925256197082
1977,1011.9831352474152
1978,1012.6568399281501
1979,1010.8853834205398
1980,1008.8187577839259
1981,1011.308565092514
1982,1010.8549641320775
1983,1009.6264332969062
1984,1011.1085708305403
1985,1010.9662197704492
1986,1008.9587489143756
1987,1011.6911267016768
1988,1010.9705871046582
1989,1011.9591719215474
1990,1015.6680997302634
1991,1010.7182159303161
1992,1012.4257480891841
1993,1011.7301729562042
1994,1012.4195330529604
1995,1009.0386943140826
1996,1012.9599871033187
1997,1011.4583827149081
1998,1012.2252711397623
1999,1012.9027484720922
2000,1009.1102742695872
2001,1010.049945859971
2002,1007.1078717819738
2003,1012.0575671512914
2004,1011.684101332578
2005,1009.8368209784963
2006,1012.1084587971424
2007,1011.1413831616763
2008,1014.2535450774699
2009,1010.0361735494902
2010,1013.8933693880477
2011,1013.1149845199478
2012,1012.8418780514556
2013,1014.1481959690049
2014,1009.5778841142079
2015,1011.4269947299194
2016,1011.6440264049684
2017,1014.2646654803175
2018,1010.4641922432212
2019,1011.6515027666943
