year,spv
1950,85.0
1951,66.0
1952,58.0
1953,61.0
1954,87.0
1955,60.0
1956,62.0
1957,41.0
1958,60.0
1959,71.0
1960,59.0
1961,75.0
1962,47.0
1963,63.0
1964,46.0
1965,55.0
1966,58.0
1967,52.0
1968,43.0
1969,65.0
1970,68.0
1971,54.0
1972,57.0
1973,55.0
1974,49.0
1975,52.0
1976,47.0
1977,42.0
1978,43.0
1979,52.0
1980,54.0
1981,64.0
1982,61.0
1983,65.0
1984,62.0
1985,70.0
1986,44.0
1987,70.0
1988,46.0
1989,66.0
1990,74.0
1991,48.0
1992,68.0
1993,65.0
1994,53.0
1995,80.0
1996,70.0
1997,54.0
1998,82.0
1999,86.0
2000,56.0
2001,83.0
2003,58.0
2004,58.0
2005,65.0
2006,74.0
2007,83.0
2008,83.0
2009,63.0
2010,80.0
2011,78.0
2012,49.0
2013,54.0
2014,72.0
2015,73.0
2016,50.0
2017,62.0
2018,63.0
